nome;jogo03;jogo09;jogo07;jogo10;jogo08;jogo01;jogo04;jogo06;jogo11;jogo02;jogo05;jogo12
gdsdourado;Cocada morena;0;Pagoca;0;0;0;0;Quebra-queixo;0;Curau de milho;;
murll II'T‘IIO;0;0;0;0;0;0;Chocolate quente;0;0;Canjica de coco;;
gabsmas;0;0;0;0;0;Bolo de coco;0;0;0;Canjica de coco;;
taomyeon;Pé de moga;Espetinho;Pagoca;Pastel (de carne ou de queijo);Algodéo doce;Bolo de mandioca;0;Bolo de milho;Caldo de feijéo;Canjica de coco;;
hellohelo_0105;0;0;0;0;0;Bolo de coco;0;0;0;Canjica de amendoim;;
niksonbernardes;Pé de moga;0;0;0;0;0;Chocolate quente;0;0;Canjica de amendoim;;
|ui2f0992;0;0;0;0;0;Bolo de coco;Caldo de cana;0;0;Arroz doce;;
kaccnny;Cocada morena;Espetinho;Doce de leite;Pastel (de carne ou de queijo);Espetinho de chocolate;Bolo de mandioca;Suco de milho;Quebra-queixo;Caldo verde;Curau de milho;;
ribeiro_gi|mar;Cocada morena;0;0;0;0;Bolo de mandioca;0;0;Caldo verde;Curau de milho;;
_danielamara|;Pé de moga;0;0;Cachorro quente;Espetinho de chocolate;Pamonha doce;0;0;Caldo verde;Curau de milho;;
yannemesquita;Pé de moleque;Galinhada;0;Buraco quente;0;Pamonha doce;Caldo de cana;0;0;Curau de milho;;
|i|ia_g|ramos;Pé de moga;0;0;0;0;Bolo de mandioca;0;0;0;Curau de milho;;
victoriamirandela;Cocada branca;0;0;0;0;Bolo de mandioca;0;0;0;Curau de milho;;
gildorsj;Pé de moleque;Espetinho;0;0;0;Bolo de fubé;Chocolate quente;0;Caldo canjiquinha;Canjica de amendoim;;
maisa_rcampos;Cocada branca;0;0;0;0;Pamonha doce;Crentéo;0;0;Canjica de coco;;
babimile_;0;0;0;0;0;0;0;0;Caldo de feijéo;;;
|ucas_mezza;0;Galinhada;Pagoca;Cachorro quente;Espetinho de chocolate;Pamonha doce;Suco de milho;Bolo de tapioca;Caldo canjiquinha;;;
lorenagarc;0;0;0;0;0;0;0;0;Caldo de feijéo;;;
taynarafre as_;0;0;0;0;0;0;0;0;Caldo de feijéo;;;
wemykarla;0;0;Doce de leite;0;Magé do amor;0;0;Quebra-queixo;Caldo de feijéo;;;
alexander.|mx;0;0;0;0;0;0;0;0;Caldo vaca atolada;;;
adacarine;0;0;0;0;0;0;0;0;Caldo verde;;;
|eticia.madeira1;0;Galinhada;Amendoim doce;Cachorro quente;Espetinho de chocolate;0;0;Bolo de pé de moleque;Caldo verde;;;
edu.marca|;0;0;0;0;0;0;0;Quebra-queixo;;;;
4 I;0;0;0;0;0;0;0;Bolo de tapioca;;;;
alexande mx;0;0;0;0;0;0;0;Bolo de tapioca;;;;
nalaramarttlns;0;0;0;0;0;0;0;Bolo de milho;;;;
tim21 Ila;0;Arroz carreteiro;Amendoim doce;Cachorro quente;Pipoca caramelizada;0;0;Bolo de milho;;;;
daviherc;0;0;0;0;0;0;0;Bolo de pé de moleque;;;;
malsumalsadora;Pé de moga;0;0;0;0;0;0;Bolo de tapioca;;;;
deborabernadete;0;0;0;0;0;0;0;Bolo de milho;;;;
a;0;0;0;0;0;0;0;Bolo de milho;;;;
