nome;jogo03;jogo09;jogo07;jogo10;jogo08;jogo01;jogo04;jogo06;jogo11;jogo02;jogo05;jogo12
marinap|28;0;0;Amendoim doce;0;0;Pamonha doce;0;0;0;0;Quentéo de vinho;Milho cozido
profheltonsereno;0;Espetinho;Pagoca;Salsichéo;Algodéo doce;0;Chocolate quente;Bolo de tapioca;Caldo de feijéo;Canjica de amendoim;Choconhaque;Milho cozido
emilly.ﬂ;Pé de moga;Galinhada;Doce de leite;Pastel (de carne ou de queijo);Pipoca caramelizada;Pamonha doce;Chocolate quente;Bolo de milho;Caldo de feijéo;Arroz doce;0;Milho cozido
juliagrdo;Cocada morena;Arroz carreteiro;0;Pastel (de carne ou de queijo);Pipoca caramelizada;Bolo de fubé;Caldo de cana;Bolo de milho;Caldo vaca atolada;Arroz doce;Camel;Milho cozido
taguvo;Pé de moleque;Espetinho;Pagoca;Pastel (de carne ou de queijo);Espetinho de chocolate;Bolo de mandioca;Chocolate quente;Bolo de milho;Caldo verde;0;0;Milho cozido
leticiaploeg;Cocada morena;0;Rapadura;Pastel (de carne ou de queijo);Espetinho de chocolate;Bolo de mandioca;Chocolate quente;Bolo de milho;Caldo verde;0;Quentéo de vinho;Milho cozido
paulalem0527;Cocada morena;0;Doce de leite;0;0;Bolo de coco;Chocolate quente;Bolo de milho;Caldo de feijéo;Canjica de coco;Choconhaque;Milho cozido
vitoriahadassaa;Cocada branca;Espetinho;Doce de leite;0;Espetinho de chocolate;Pamonha doce;Chocolate quente;0;0;Canjica de coco;0;Milho cozido
hericles.ferraz;0;0;Pagoca;Cachorro quente;Espetinho de chocolate;0;0;Bolo de milho;Caldo de feijéo;0;0;Milho cozido
glhrmbrz;Pé de moga;0;0;0;Magé do amor;Bolo de mandioca;Chocolate quente;Bolo de milho;Caldo de feijéo;Canjica de coco;Choconhaque;Milho cozido
mmakiuchL;Cocada morena;0;Doce de leite;0;Espetinho de chocolate;Bolo de mandioca;Chocolate quente;Bolo de milho;Caldo verde;Curau de milho;Choconhaque;Milho cozido
Ara;Cocada morena;0;Doce de leite;0;Espetinho de chocolate;0;Chocolate quente;Bolo de milho;Caldo verde;Curau de milho;0;Milho cozido
yurirocha_15;Cocada morena;Espetinho;Pagoca;Pastel (de carne ou de queijo);Espetinho de chocolate;Bolo de coco;Chocolate quente;Bolo de tapioca;Caldo vaca atolada;Arroz doce;Choconhaque;Milho cozido
sectorsul;0;Galinhada;Rapadura;Cachorro quente;Algodéo doce;0;0;Bolo de milho;Caldo de feijéo;0;0;Milho cozido
janei,png;0;Galinhada;0;0;0;0;0;0;Caldo vaca atolada;0;0;Milho cozido
delicias_da_dri31;Cocada morena;Arroz carreteiro;Doce de leite;0;Pipoca caramelizada;Bolo de mandioca;Chocolate quente;0;Caldo verde;Canjica de amendoim;Quentéo de vinho;Milho cozido
clarifranca;0;Galinhada;0;Pastel (de carne ou de queijo);0;0;0;0;Caldo de feijéo;0;0;Milho cozido
ayalla.e;0;Galinhada;0;Pastel (de carne ou de queijo);0;0;0;0;Caldo vaca atolada;0;0;Milho cozido
junior_a|ve209;Cocada branca;Arroz carreteiro;Pagoca;Pastel (de carne ou de queijo);Espetinho de chocolate;Bolo de coco;0;Bolo de milho;Caldo canjiquinha;0;0;Pamonha de sal
j_robert001;Cocada morena;Galinhada;0;Buraco quente;0;Bolo de mandioca;Caldo de cana;0;Caldo canjiquinha;0;0;Pamonha de sal
hina_amara|;Cocada branca;Vatapé de frango;Doce de leite;Cachorro quente;Pipoca caramelizada;Bolo de coco;Caldo de cana;0;Caldo de feijéo;0;0;Pamonha de sal
rodsousa9;Cocada morena;Arroz carreteiro;0;Buraco quente;Espetinho de chocolate;Bolo de mandioca;Chocolate quente;Bolo de tapioca;Caldo vaca atolada;Curau de milho;Quentéo de cachaga;Pamonha de sal
nefelibata_lais;Pé de moleque;Arroz carreteiro;Amendoim doce;0;Pipoca caramelizada;Bolo de mandioca;Crentéo;Bolo de pé de moleque;Caldo verde;Canjica de amendoim;Quentéo de vinho;Pamonha de sal
roronoaa;Cocada branca;Galinhada;Rapadura;Salsichéo;Algodéo doce;Pamonha doce;Crentéo;0;Caldo verde;0;Quentéo de vinho;Pamonha de sal
glehnunes;Cocada morena;Arroz carreteiro;Doce de leite;Buraco quente;Magé do amor;Pamonha doce;Crentéo;Quebra-queixo;Caldo vaca atolada;Canjica de coco;Choconhaque;Pamonha de sal
renataros_;Cocada morena;Galinhada;Pagoca;Cachorro quente;Espetinho de chocolate;Pamonha doce;Caldo de cana;Quebra-queixo;Caldo verde;Curau de milho;Choconhaque;Pamonha de sal
natspictureabout;0;Espetinho;Pagoca;Cachorro quente;Espetinho de chocolate;0;0;Quebra-queixo;0;0;0;Pamonha de sal
thirdworlddiva;0;Espetinho;Pagoca;Buraco quente;Pipoca caramelizada;0;0;Bolo de tapioca;Caldo canjiquinha;0;0;Pamonha de sal
jonatasmedeirosjunior;Pé de moga;Espetinho;Pagoca;0;0;Pamonha doce;Chocolate quente;0;0;Canjica de coco;Choconhaque;Milho na brasa
wtftiago;Pé de moga;Vatapé de frango;0;Cachorro quente;Pipoca caramelizada;Bolo de fubé;Caldo de cana;Bolo de milho;Caldo verde;Curau de milho;Quentéo de vinho;Milho na brasa
antonioxalves;0;Espetinho;Pagoca;Cachorro quente;Algodéo doce;0;Chocolate quente;Bolo de milho;Caldo de feijéo;Arroz doce;Quentéo de vinho;Milho na brasa
Ifformigari;0;Arroz carreteiro;Rapadura;0;Espetinho de chocolate;Bolo de mandioca;Caldo de cana;Bolo de milho;0;Arroz doce;Quentéo de cachaga;Milho na brasa
mayra_726;Cocada branca;Espetinho;Pagoca;Cachorro quente;0;Bolo de mandioca;0;Bolo de tapioca;Caldo verde;Canjica de coco;Quentéo de cachaga;Milho na brasa
gleidsonf_;0;Vatapé de frango;Pagoca;Buraco quente;Espetinho de chocolate;0;0;Bolo de milho;Caldo canjiquinha;0;0;Milho na brasa
ravenful;Cocada morena;Espetinho;Pagoca;Cachorro quente;Magé do amor;Pamonha doce;Caldo de cana;Bolo de pé de moleque;Caldo verde;Curau de milho;Choconhaque;Milho na brasa
fabiowakai;Pé de moleque;0;Amendoim doce;Pastel (de carne ou de queijo);Magé do amor;Bolo de fubé;Suco de milho;Bolo de milho;Caldo de feijéo;Arroz doce;Quentéo de vinho;Milho na brasa
rafaela_okamoto;Cocada morena;0;Doce de leite;Salsichéo;Espetinho de chocolate;Pamonha doce;Chocolate quente;Bolo de milho;Caldo verde;Arroz doce;Choconhaque;Milho na brasa
fellipepradella;0;Espetinho;Pagoca;Buraco quente;Magé do amor;0;0;Quebra-queixo;Caldo vaca atolada;0;0;Milho na brasa
luciosidney;Cocada branca;Espetinho;Doce de leite;0;Algodéo doce;Pamonha doce;Caldo de cana;Quebra-queixo;Caldo canjiquinha;Curau de milho;Choconhaque;Pipoca de sal
albmatsuda;0;Galinhada;0;Cachorro quente;Espetinho de chocolate;0;Chocolate quente;Bolo de tapioca;Caldo vaca atolada;0;Choconhaque;Pipoca de sal
perimartins;0;Arroz carreteiro;Amendoim doce;Pastel (de carne ou de queijo);Pipoca caramelizada;0;0;0;Caldo de feijéo;0;0;Pipoca de sal
rayssinhasoares;0;Arroz carreteiro;Doce de leite;Cachorro quente;Magé do amor;0;0;0;0;0;0;Pipoca de sal
\;0;0;Doce de leite;0;Magé do amor;0;0;0;0;0;0;Pipoca de sal
avelariago;Cocada branca;0;Doce de leite;Pastel (de carne ou de queijo);Espetinho de chocolate;Bolo de fubé;0;Bolo de tapioca;Caldo de feijéo;Curau de milho;Choconhaque;Pipoca de sal
de_akrish;0;Arroz carreteiro;Pagoca;Buraco quente;Espetinho de chocolate;0;0;Bolo de milho;Caldo vaca atolada;0;0;Pipoca de sal
mariﬁdelisa;0;0;Doce de leite;Pastel (de carne ou de queijo);0;0;0;Bolo de milho;Caldo canjiquinha;0;0;Pipoca de sal
|ivia.gcf;Pé de moleque;Galinhada;Pagoca;Pastel (de carne ou de queijo);Pipoca caramelizada;Pamonha doce;Chocolate quente;Bolo de tapioca;Caldo de feijéo;Arroz doce;Choconhaque;Pipoca de sal
drageovannacecchin;0;Espetinho;0;Pastel (de carne ou de queijo);0;0;0;0;Caldo vaca atolada;0;0;Pipoca de sal
jonatassaguiar;Cocada morena;Espetinho;0;Pastel (de carne ou de queijo);0;Bolo de coco;Chocolate quente;0;Caldo de feijéo;Canjica de coco;0;Pipoca de sal
afonsofonbraga;Cocada morena;0;Amendoim doce;0;Magé do amor;Bolo de fubé;Caldo de cana;Bolo de tapioca;Caldo verde;Arroz doce;Quentéo de cachaga;Pipoca de sal
adacaﬂne;0;Vatapé de frango;Doce de leite;Cachorro quente;0;0;Chocolate quente;Bolo de milho;0;0;0;Pipoca de sal
darahduarte;Pé de moleque;0;Doce de leite;Pastel (de carne ou de queijo);0;0;0;Bolo de milho;Caldo de feijéo;Canjica de amendoim;0;Pipoca de sal
arthurbeggs;Pé de moga;Arroz carreteiro;Pagoca;Pastel (de carne ou de queijo);Pipoca caramelizada;Pamonha doce;Chocolate quente;Bolo de milho;0;Canjica de amendoim;Quentéo de cachaga;Milho na brasa
marcusteacher;Cocada branca;Arroz carreteiro;0;Pastel (de carne ou de queijo);Algodéo doce;Pamonha doce;0;Bolo de tapioca;Caldo verde;Canjica de coco;Quentéo de vinho;Milho na brasa
rodrigovsklima;0;0;Doce de leite;Pastel (de carne ou de queijo);0;0;0;0;0;Canjica de coco;0;Milho na brasa
kassiasayonaraamorim;0;Vatapé de frango;Doce de leite;Pastel (de carne ou de queijo);Magé do amor;Bolo de mandioca;0;Bolo de milho;Caldo canjiquinha;0;Choconhaque;Milho na brasa
mathpads;Pé de moleque;Galinhada;Doce de leite;0;0;Bolo de mandioca;Suco de milho;Bolo de milho;0;Curau de milho;0;Milho na brasa
mykael,amara|;Cocada morena;Arroz carreteiro;Rapadura;Pastel (de carne ou de queijo);Magé do amor;Bolo de fubé;Caldo de cana;0;Caldo verde;Canjica de amendoim;Camel;Milho na brasa
rebecahss;Cocada branca;0;Pagoca;Pastel (de carne ou de queijo);Pipoca caramelizada;Pamonha doce;Crentéo;Bolo de milho;Caldo verde;Canjica de coco;Quentéo de vinho;Milho na brasa
Iaylaps;Cocada branca;0;Pagoca;0;0;Bolo de fubé;Caldo de cana;Bolo de milho;0;Canjica de coco;0;Milho na brasa
|uis,amara|h;Pé de moleque;Espetinho;0;Cachorro quente;0;Bolo de mandioca;Chocolate quente;0;Caldo de feijéo;Curau de milho;0;Milho na brasa
kenn_lui;Pé de moga;Espetinho;0;Cachorro quente;Espetinho de chocolate;0;Suco de milho;Bolo de tapioca;Caldo canjiquinha;Canjica de amendoim;Choconhaque;Milho na brasa
nglhermecasIro;0;0;0;0;0;0;0;0;0;0;0;Pamonha de sal
vitusimoes;Pé de moleque;Espetinho;Pagoca;Cachorro quente;Magé do amor;Pamonha doce;Caldo de cana;Bolo de tapioca;Caldo verde;Canjica de amendoim;0;Pamonha de sal
